Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item,Year,Months Code,Months,Unit,Value
PP,Producer Prices,16,Bangladesh,5532,Producer Price (USD/tonne),Wheat,1991,7021,Annual value,USD,163
PP,Producer Prices,16,Bangladesh,5532,Producer Price (USD/tonne),Wheat,1992,7021,Annual value,USD,178
PP,Producer Prices,16,Bangladesh,5532,Producer Price (USD/tonne),Wheat,1993,7021,Annual value,USD,136
PP,Producer Prices,16,Bangladesh,5532,Producer Price (USD/tonne),Wheat,1994,7021,Annual value,USD,161
PP,Producer Prices,16,Bangladesh,5532,Producer Price (USD/tonne),Wheat,1995,7021,Annual value,USD,186
PP,Producer Prices,16,Bangladesh,5532,Producer Price (USD/tonne),Wheat,1996,7021,Annual value,USD,178
PP,Producer Prices,16,Bangladesh,5532,Producer Price (USD/tonne),Wheat,1997,7021,Annual value,USD,167
PP,Producer Prices,16,Bangladesh,5532,Producer Price (USD/tonne),Wheat,1998,7021,Annual value,USD,172
PP,Producer Prices,16,Bangladesh,5532,Producer Price (USD/tonne),Wheat,1999,7021,Annual value,USD,173
PP,Producer Prices,16,Bangladesh,5532,Producer Price (USD/tonne),Wheat,2000,7021,Annual value,USD,155
PP,Producer Prices,16,Bangladesh,5532,Producer Price (USD/tonne),Wheat,2001,7021,Annual value,USD,147
PP,Producer Prices,16,Bangladesh,5532,Producer Price (USD/tonne),Wheat,2002,7021,Annual value,USD,145
PP,Producer Prices,16,Bangladesh,5532,Producer Price (USD/tonne),Wheat,2003,7021,Annual value,USD,215
PP,Producer Prices,16,Bangladesh,5532,Producer Price (USD/tonne),Wheat,2004,7021,Annual value,USD,227
PP,Producer Prices,16,Bangladesh,5532,Producer Price (USD/tonne),Wheat,2005,7021,Annual value,USD,218
PP,Producer Prices,16,Bangladesh,5532,Producer Price (USD/tonne),Wheat,2006,7021,Annual value,USD,201
PP,Producer Prices,16,Bangladesh,5532,Producer Price (USD/tonne),Wheat,2007,7021,Annual value,USD,256
PP,Producer Prices,16,Bangladesh,5532,Producer Price (USD/tonne),Wheat,2008,7021,Annual value,USD,211
PP,Producer Prices,16,Bangladesh,5532,Producer Price (USD/tonne),Wheat,2009,7021,Annual value,USD,250
PP,Producer Prices,16,Bangladesh,5532,Producer Price (USD/tonne),Wheat,2010,7021,Annual value,USD,295
PP,Producer Prices,16,Bangladesh,5532,Producer Price (USD/tonne),Wheat,2011,7021,Annual value,USD,263
PP,Producer Prices,16,Bangladesh,5532,Producer Price (USD/tonne),Wheat,2012,7021,Annual value,USD,269
PP,Producer Prices,16,Bangladesh,5532,Producer Price (USD/tonne),Wheat,2013,7021,Annual value,USD,288
PP,Producer Prices,16,Bangladesh,5532,Producer Price (USD/tonne),Wheat,2014,7021,Annual value,USD,280
PP,Producer Prices,16,Bangladesh,5532,Producer Price (USD/tonne),Wheat,2015,7021,Annual value,USD,277
PP,Producer Prices,16,Bangladesh,5532,Producer Price (USD/tonne),Wheat,2016,7021,Annual value,USD,255
PP,Producer Prices,16,Bangladesh,5532,Producer Price (USD/tonne),Wheat,2017,7021,Annual value,USD,268
PP,Producer Prices,16,Bangladesh,5532,Producer Price (USD/tonne),Wheat,2018,7021,Annual value,USD,280
PP,Producer Prices,16,Bangladesh,5532,Producer Price (USD/tonne),Wheat,2019,7021,Annual value,USD,302
PP,Producer Prices,16,Bangladesh,5532,Producer Price (USD/tonne),Wheat,2020,7021,Annual value,USD,301
PP,Producer Prices,100,India,5532,Producer Price (USD/tonne),Wheat,1991,7021,Annual value,USD,170
PP,Producer Prices,100,India,5532,Producer Price (USD/tonne),Wheat,1992,7021,Annual value,USD,150
PP,Producer Prices,100,India,5532,Producer Price (USD/tonne),Wheat,1993,7021,Annual value,USD,134
PP,Producer Prices,100,India,5532,Producer Price (USD/tonne),Wheat,1994,7021,Annual value,USD,135
PP,Producer Prices,100,India,5532,Producer Price (USD/tonne),Wheat,1995,7021,Annual value,USD,145
PP,Producer Prices,100,India,5532,Producer Price (USD/tonne),Wheat,1996,7021,Annual value,USD,163
PP,Producer Prices,100,India,5532,Producer Price (USD/tonne),Wheat,1997,7021,Annual value,USD,152
PP,Producer Prices,100,India,5532,Producer Price (USD/tonne),Wheat,1998,7021,Annual value,USD,144
PP,Producer Prices,100,India,5532,Producer Price (USD/tonne),Wheat,1999,7021,Annual value,USD,148
PP,Producer Prices,100,India,5532,Producer Price (USD/tonne),Wheat,2000,7021,Annual value,USD,148
PP,Producer Prices,100,India,5532,Producer Price (USD/tonne),Wheat,2001,7021,Annual value,USD,140
PP,Producer Prices,100,India,5532,Producer Price (USD/tonne),Wheat,2002,7021,Annual value,USD,139
PP,Producer Prices,100,India,5532,Producer Price (USD/tonne),Wheat,2003,7021,Annual value,USD,150
PP,Producer Prices,100,India,5532,Producer Price (USD/tonne),Wheat,2004,7021,Annual value,USD,157
PP,Producer Prices,100,India,5532,Producer Price (USD/tonne),Wheat,2005,7021,Annual value,USD,188
PP,Producer Prices,100,India,5532,Producer Price (USD/tonne),Wheat,2006,7021,Annual value,USD,196
PP,Producer Prices,100,India,5532,Producer Price (USD/tonne),Wheat,2007,7021,Annual value,USD,242
PP,Producer Prices,100,India,5532,Producer Price (USD/tonne),Wheat,2008,7021,Annual value,USD,248
PP,Producer Prices,102,Iran ,5532,Producer Price (USD/tonne),Wheat,1991,7021,Annual value,USD,266
PP,Producer Prices,102,Iran ,5532,Producer Price (USD/tonne),Wheat,1992,7021,Annual value,USD,228
PP,Producer Prices,102,Iran ,5532,Producer Price (USD/tonne),Wheat,1993,7021,Annual value,USD,253
PP,Producer Prices,102,Iran ,5532,Producer Price (USD/tonne),Wheat,1994,7021,Annual value,USD,218
PP,Producer Prices,102,Iran ,5532,Producer Price (USD/tonne),Wheat,1995,7021,Annual value,USD,192
PP,Producer Prices,102,Iran ,5532,Producer Price (USD/tonne),Wheat,1996,7021,Annual value,USD,192
PP,Producer Prices,102,Iran ,5532,Producer Price (USD/tonne),Wheat,1997,7021,Annual value,USD,174
PP,Producer Prices,102,Iran ,5532,Producer Price (USD/tonne),Wheat,1998,7021,Annual value,USD,186
PP,Producer Prices,102,Iran ,5532,Producer Price (USD/tonne),Wheat,1999,7021,Annual value,USD,161
PP,Producer Prices,102,Iran ,5532,Producer Price (USD/tonne),Wheat,2000,7021,Annual value,USD,153
PP,Producer Prices,102,Iran ,5532,Producer Price (USD/tonne),Wheat,2001,7021,Annual value,USD,170
PP,Producer Prices,102,Iran ,5532,Producer Price (USD/tonne),Wheat,2002,7021,Annual value,USD,186
PP,Producer Prices,102,Iran ,5532,Producer Price (USD/tonne),Wheat,2003,7021,Annual value,USD,183
PP,Producer Prices,102,Iran ,5532,Producer Price (USD/tonne),Wheat,2004,7021,Annual value,USD,197
PP,Producer Prices,102,Iran ,5532,Producer Price (USD/tonne),Wheat,2005,7021,Annual value,USD,208
PP,Producer Prices,102,Iran ,5532,Producer Price (USD/tonne),Wheat,2006,7021,Annual value,USD,225
PP,Producer Prices,102,Iran ,5532,Producer Price (USD/tonne),Wheat,2007,7021,Annual value,USD,220
PP,Producer Prices,102,Iran ,5532,Producer Price (USD/tonne),Wheat,2008,7021,Annual value,USD,310
PP,Producer Prices,102,Iran ,5532,Producer Price (USD/tonne),Wheat,2009,7021,Annual value,USD,310
PP,Producer Prices,102,Iran ,5532,Producer Price (USD/tonne),Wheat,2010,7021,Annual value,USD,311
PP,Producer Prices,102,Iran ,5532,Producer Price (USD/tonne),Wheat,2011,7021,Annual value,USD,321
PP,Producer Prices,102,Iran ,5532,Producer Price (USD/tonne),Wheat,2012,7021,Annual value,USD,358
PP,Producer Prices,102,Iran ,5532,Producer Price (USD/tonne),Wheat,2013,7021,Annual value,USD,413
PP,Producer Prices,102,Iran ,5532,Producer Price (USD/tonne),Wheat,2014,7021,Annual value,USD,404
PP,Producer Prices,102,Iran ,5532,Producer Price (USD/tonne),Wheat,2015,7021,Annual value,USD,398
PP,Producer Prices,102,Iran ,5532,Producer Price (USD/tonne),Wheat,2016,7021,Annual value,USD,402
PP,Producer Prices,102,Iran ,5532,Producer Price (USD/tonne),Wheat,2017,7021,Annual value,USD,388
PP,Producer Prices,102,Iran ,5532,Producer Price (USD/tonne),Wheat,2018,7021,Annual value,USD,319
PP,Producer Prices,102,Iran ,5532,Producer Price (USD/tonne),Wheat,2019,7021,Annual value,USD,410
PP,Producer Prices,102,Iran ,5532,Producer Price (USD/tonne),Wheat,2020,7021,Annual value,USD,591
PP,Producer Prices,149,Nepal,5532,Producer Price (USD/tonne),Wheat,1991,7021,Annual value,USD,123
PP,Producer Prices,149,Nepal,5532,Producer Price (USD/tonne),Wheat,1992,7021,Annual value,USD,114
PP,Producer Prices,149,Nepal,5532,Producer Price (USD/tonne),Wheat,1993,7021,Annual value,USD,118
PP,Producer Prices,149,Nepal,5532,Producer Price (USD/tonne),Wheat,1994,7021,Annual value,USD,117
PP,Producer Prices,149,Nepal,5532,Producer Price (USD/tonne),Wheat,1995,7021,Annual value,USD,113
PP,Producer Prices,149,Nepal,5532,Producer Price (USD/tonne),Wheat,1996,7021,Annual value,USD,122
PP,Producer Prices,149,Nepal,5532,Producer Price (USD/tonne),Wheat,1997,7021,Annual value,USD,136
PP,Producer Prices,149,Nepal,5532,Producer Price (USD/tonne),Wheat,1998,7021,Annual value,USD,119
PP,Producer Prices,149,Nepal,5532,Producer Price (USD/tonne),Wheat,2000,7021,Annual value,USD,134
PP,Producer Prices,149,Nepal,5532,Producer Price (USD/tonne),Wheat,2001,7021,Annual value,USD,131
PP,Producer Prices,149,Nepal,5532,Producer Price (USD/tonne),Wheat,2002,7021,Annual value,USD,126
PP,Producer Prices,149,Nepal,5532,Producer Price (USD/tonne),Wheat,2003,7021,Annual value,USD,130
PP,Producer Prices,149,Nepal,5532,Producer Price (USD/tonne),Wheat,2004,7021,Annual value,USD,146
PP,Producer Prices,149,Nepal,5532,Producer Price (USD/tonne),Wheat,2005,7021,Annual value,USD,165
PP,Producer Prices,149,Nepal,5532,Producer Price (USD/tonne),Wheat,2006,7021,Annual value,USD,164
PP,Producer Prices,149,Nepal,5532,Producer Price (USD/tonne),Wheat,2007,7021,Annual value,USD,205
PP,Producer Prices,149,Nepal,5532,Producer Price (USD/tonne),Wheat,2008,7021,Annual value,USD,220
PP,Producer Prices,149,Nepal,5532,Producer Price (USD/tonne),Wheat,2009,7021,Annual value,USD,219
PP,Producer Prices,149,Nepal,5532,Producer Price (USD/tonne),Wheat,2010,7021,Annual value,USD,270
PP,Producer Prices,149,Nepal,5532,Producer Price (USD/tonne),Wheat,2011,7021,Annual value,USD,292
PP,Producer Prices,149,Nepal,5532,Producer Price (USD/tonne),Wheat,2012,7021,Annual value,USD,255
PP,Producer Prices,149,Nepal,5532,Producer Price (USD/tonne),Wheat,2013,7021,Annual value,USD,257
PP,Producer Prices,149,Nepal,5532,Producer Price (USD/tonne),Wheat,2014,7021,Annual value,USD,259
PP,Producer Prices,149,Nepal,5532,Producer Price (USD/tonne),Wheat,2015,7021,Annual value,USD,272
PP,Producer Prices,149,Nepal,5532,Producer Price (USD/tonne),Wheat,2016,7021,Annual value,USD,267
PP,Producer Prices,149,Nepal,5532,Producer Price (USD/tonne),Wheat,2017,7021,Annual value,USD,278
PP,Producer Prices,149,Nepal,5532,Producer Price (USD/tonne),Wheat,2018,7021,Annual value,USD,276
PP,Producer Prices,149,Nepal,5532,Producer Price (USD/tonne),Wheat,2019,7021,Annual value,USD,285
PP,Producer Prices,149,Nepal,5532,Producer Price (USD/tonne),Wheat,2020,7021,Annual value,USD,295
PP,Producer Prices,165,Pakistan,5532,Producer Price (USD/tonne),Wheat,1991,7021,Annual value,USD,143
PP,Producer Prices,165,Pakistan,5532,Producer Price (USD/tonne),Wheat,1992,7021,Annual value,USD,145
PP,Producer Prices,165,Pakistan,5532,Producer Price (USD/tonne),Wheat,1993,7021,Annual value,USD,144
PP,Producer Prices,165,Pakistan,5532,Producer Price (USD/tonne),Wheat,1994,7021,Annual value,USD,153
PP,Producer Prices,165,Pakistan,5532,Producer Price (USD/tonne),Wheat,1995,7021,Annual value,USD,149
PP,Producer Prices,165,Pakistan,5532,Producer Price (USD/tonne),Wheat,1996,7021,Annual value,USD,166
PP,Producer Prices,165,Pakistan,5532,Producer Price (USD/tonne),Wheat,1997,7021,Annual value,USD,180
PP,Producer Prices,165,Pakistan,5532,Producer Price (USD/tonne),Wheat,1998,7021,Annual value,USD,161
PP,Producer Prices,165,Pakistan,5532,Producer Price (USD/tonne),Wheat,1999,7021,Annual value,USD,155
PP,Producer Prices,165,Pakistan,5532,Producer Price (USD/tonne),Wheat,2000,7021,Annual value,USD,154
PP,Producer Prices,165,Pakistan,5532,Producer Price (USD/tonne),Wheat,2001,7021,Annual value,USD,127
PP,Producer Prices,165,Pakistan,5532,Producer Price (USD/tonne),Wheat,2002,7021,Annual value,USD,148
PP,Producer Prices,165,Pakistan,5532,Producer Price (USD/tonne),Wheat,2003,7021,Annual value,USD,158
PP,Producer Prices,165,Pakistan,5532,Producer Price (USD/tonne),Wheat,2004,7021,Annual value,USD,184
PP,Producer Prices,165,Pakistan,5532,Producer Price (USD/tonne),Wheat,2005,7021,Annual value,USD,187
PP,Producer Prices,165,Pakistan,5532,Producer Price (USD/tonne),Wheat,2006,7021,Annual value,USD,178
PP,Producer Prices,165,Pakistan,5532,Producer Price (USD/tonne),Wheat,2007,7021,Annual value,USD,178
PP,Producer Prices,165,Pakistan,5532,Producer Price (USD/tonne),Wheat,2008,7021,Annual value,USD,162
PP,Producer Prices,165,Pakistan,5532,Producer Price (USD/tonne),Wheat,2009,7021,Annual value,USD,298
PP,Producer Prices,165,Pakistan,5532,Producer Price (USD/tonne),Wheat,2010,7021,Annual value,USD,295
PP,Producer Prices,165,Pakistan,5532,Producer Price (USD/tonne),Wheat,2012,7021,Annual value,USD,260
PP,Producer Prices,165,Pakistan,5532,Producer Price (USD/tonne),Wheat,2013,7021,Annual value,USD,286
PP,Producer Prices,165,Pakistan,5532,Producer Price (USD/tonne),Wheat,2014,7021,Annual value,USD,299
PP,Producer Prices,165,Pakistan,5532,Producer Price (USD/tonne),Wheat,2015,7021,Annual value,USD,287
PP,Producer Prices,165,Pakistan,5532,Producer Price (USD/tonne),Wheat,2016,7021,Annual value,USD,286
