Domain Code,Domain,Area,Element,Item,Year,Unit,Value
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,1972,kilotonnes,0.0507
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,1973,kilotonnes,0.0576
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,1974,kilotonnes,0.0423
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,1975,kilotonnes,0.0482
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,1976,kilotonnes,0.0444
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,1977,kilotonnes,0.0434
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,1978,kilotonnes,0.0471
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,1979,kilotonnes,0.0418
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,1980,kilotonnes,0.0446
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,1981,kilotonnes,0.0319
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,1982,kilotonnes,0.0221
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,1983,kilotonnes,0.0287
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,1984,kilotonnes,0.0309
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,1985,kilotonnes,0.0391
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,1986,kilotonnes,0.0434
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,1987,kilotonnes,0.0428
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,1988,kilotonnes,0.0589
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,1989,kilotonnes,0.0525
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,1990,kilotonnes,0.0512
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,1991,kilotonnes,0.0473
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,1992,kilotonnes,0.0503
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,1993,kilotonnes,0.0512
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,1994,kilotonnes,0.055
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,1995,kilotonnes,0.048
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,1996,kilotonnes,0.0446
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,1997,kilotonnes,0.048
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,1998,kilotonnes,0.0437
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,1999,kilotonnes,0.0444
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,2000,kilotonnes,0.0521
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,2001,kilotonnes,0.0451
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,2002,kilotonnes,0.0346
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,2003,kilotonnes,0.0325
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,2004,kilotonnes,0.0252
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,2005,kilotonnes,0.0146
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,2006,kilotonnes,0.0173
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,2007,kilotonnes,0.0194
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,2008,kilotonnes,0.0125
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,2009,kilotonnes,0.0104
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,2010,kilotonnes,0.0072
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,2011,kilotonnes,0.0041
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,2012,kilotonnes,0.0057
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,2013,kilotonnes,0.0084
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,2014,kilotonnes,0.0066
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,2015,kilotonnes,0.0027
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,2016,kilotonnes,0.0023
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,2017,kilotonnes,0.0027
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,2018,kilotonnes,0.0027
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,2019,kilotonnes,0.0019
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,1972,kilotonnes,0.3493
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,1973,kilotonnes,0.3972
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,1974,kilotonnes,0.2915
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,1975,kilotonnes,0.332
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,1976,kilotonnes,0.3062
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,1977,kilotonnes,0.2988
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,1978,kilotonnes,0.3247
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,1979,kilotonnes,0.2878
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,1980,kilotonnes,0.3075
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,1981,kilotonnes,0.2201
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,1982,kilotonnes,0.1525
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,1983,kilotonnes,0.198
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,1984,kilotonnes,0.2128
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,1985,kilotonnes,0.2693
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,1986,kilotonnes,0.2988
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,1987,kilotonnes,0.2952
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,1988,kilotonnes,0.4058
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,1989,kilotonnes,0.3616
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,1990,kilotonnes,0.353
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,1991,kilotonnes,0.3259
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,1992,kilotonnes,0.3468
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,1993,kilotonnes,0.353
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,1994,kilotonnes,0.3788
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,1995,kilotonnes,0.3308
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,1996,kilotonnes,0.3075
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,1997,kilotonnes,0.3308
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,1998,kilotonnes,0.3013
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,1999,kilotonnes,0.3062
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,2000,kilotonnes,0.3591
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,2001,kilotonnes,0.3111
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,2002,kilotonnes,0.2386
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,2003,kilotonnes,0.2236
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,2004,kilotonnes,0.1734
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,2005,kilotonnes,0.1006
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,2006,kilotonnes,0.1195
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,2007,kilotonnes,0.1339
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,2008,kilotonnes,0.0858
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,2009,kilotonnes,0.0714
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,2010,kilotonnes,0.0499
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,2011,kilotonnes,0.0283
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,2012,kilotonnes,0.0394
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,2013,kilotonnes,0.0578
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,2014,kilotonnes,0.0455
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,2015,kilotonnes,0.0184
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,2016,kilotonnes,0.016
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,2017,kilotonnes,0.0184
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,2018,kilotonnes,0.0184
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,2019,kilotonnes,0.013
GN,Energy Use,Pakistan,Emissions (CO2),Gas-Diesel oil,1972,kilotonnes,904.9092
GN,Energy Use,Pakistan,Emissions (CO2),Gas-Diesel oil,1973,kilotonnes,1029.1749
GN,Energy Use,Pakistan,Emissions (CO2),Gas-Diesel oil,1974,kilotonnes,755.1531
GN,Energy Use,Pakistan,Emissions (CO2),Gas-Diesel oil,1975,kilotonnes,860.301
GN,Energy Use,Pakistan,Emissions (CO2),Gas-Diesel oil,1976,kilotonnes,793.3887
GN,Energy Use,Pakistan,Emissions (CO2),Gas-Diesel oil,1977,kilotonnes,774.2709
GN,Energy Use,Pakistan,Emissions (CO2),Gas-Diesel oil,1978,kilotonnes,841.1832
GN,Energy Use,Pakistan,Emissions (CO2),Gas-Diesel oil,1979,kilotonnes,745.5942
GN,Energy Use,Pakistan,Emissions (CO2),Gas-Diesel oil,1980,kilotonnes,796.575
GN,Energy Use,Pakistan,Emissions (CO2),Gas-Diesel oil,1981,kilotonnes,570.3477
GN,Energy Use,Pakistan,Emissions (CO2),Gas-Diesel oil,1982,kilotonnes,395.1012
GN,Energy Use,Pakistan,Emissions (CO2),Gas-Diesel oil,1983,kilotonnes,512.9943
GN,Energy Use,Pakistan,Emissions (CO2),Gas-Diesel oil,1984,kilotonnes,551.2299
GN,Energy Use,Pakistan,Emissions (CO2),Gas-Diesel oil,1985,kilotonnes,697.7997
GN,Energy Use,Pakistan,Emissions (CO2),Gas-Diesel oil,1986,kilotonnes,774.2709
GN,Energy Use,Pakistan,Emissions (CO2),Gas-Diesel oil,1987,kilotonnes,764.712
GN,Energy Use,Pakistan,Emissions (CO2),Gas-Diesel oil,1988,kilotonnes,1051.479
GN,Energy Use,Pakistan,Emissions (CO2),Gas-Diesel oil,1989,kilotonnes,936.7722
GN,Energy Use,Pakistan,Emissions (CO2),Gas-Diesel oil,1990,kilotonnes,914.4681
GN,Energy Use,Pakistan,Emissions (CO2),Gas-Diesel oil,1991,kilotonnes,844.3695
GN,Energy Use,Pakistan,Emissions (CO2),Gas-Diesel oil,1992,kilotonnes,898.5366
GN,Energy Use,Pakistan,Emissions (CO2),Gas-Diesel oil,1993,kilotonnes,914.4681
GN,Energy Use,Pakistan,Emissions (CO2),Gas-Diesel oil,1994,kilotonnes,981.3804
GN,Energy Use,Pakistan,Emissions (CO2),Gas-Diesel oil,1995,kilotonnes,857.1147
GN,Energy Use,Pakistan,Emissions (CO2),Gas-Diesel oil,1996,kilotonnes,796.575
GN,Energy Use,Pakistan,Emissions (CO2),Gas-Diesel oil,1997,kilotonnes,857.1147
GN,Energy Use,Pakistan,Emissions (CO2),Gas-Diesel oil,1998,kilotonnes,780.6435
GN,Energy Use,Pakistan,Emissions (CO2),Gas-Diesel oil,1999,kilotonnes,793.3887
GN,Energy Use,Pakistan,Emissions (CO2),Gas-Diesel oil,2000,kilotonnes,930.3996
GN,Energy Use,Pakistan,Emissions (CO2),Gas-Diesel oil,2001,kilotonnes,806.1339
GN,Energy Use,Pakistan,Emissions (CO2),Gas-Diesel oil,2002,kilotonnes,618.1422
GN,Energy Use,Pakistan,Emissions (CO2),Gas-Diesel oil,2003,kilotonnes,579.4541
GN,Energy Use,Pakistan,Emissions (CO2),Gas-Diesel oil,2004,kilotonnes,449.1408
GN,Energy Use,Pakistan,Emissions (CO2),Gas-Diesel oil,2005,kilotonnes,260.719
GN,Energy Use,Pakistan,Emissions (CO2),Gas-Diesel oil,2006,kilotonnes,309.7115
GN,Energy Use,Pakistan,Emissions (CO2),Gas-Diesel oil,2007,kilotonnes,346.8829
GN,Energy Use,Pakistan,Emissions (CO2),Gas-Diesel oil,2008,kilotonnes,222.3814
GN,Energy Use,Pakistan,Emissions (CO2),Gas-Diesel oil,2009,kilotonnes,185.0348
GN,Energy Use,Pakistan,Emissions (CO2),Gas-Diesel oil,2010,kilotonnes,129.3542
GN,Energy Use,Pakistan,Emissions (CO2),Gas-Diesel oil,2011,kilotonnes,73.2849
GN,Energy Use,Pakistan,Emissions (CO2),Gas-Diesel oil,2012,kilotonnes,101.9616
GN,Energy Use,Pakistan,Emissions (CO2),Gas-Diesel oil,2013,kilotonnes,149.7561
GN,Energy Use,Pakistan,Emissions (CO2),Gas-Diesel oil,2014,kilotonnes,117.8931
GN,Energy Use,Pakistan,Emissions (CO2),Gas-Diesel oil,2015,kilotonnes,47.7945
GN,Energy Use,Pakistan,Emissions (CO2),Gas-Diesel oil,2016,kilotonnes,41.4219
GN,Energy Use,Pakistan,Emissions (CO2),Gas-Diesel oil,2017,kilotonnes,47.7945
GN,Energy Use,Pakistan,Emissions (CO2),Gas-Diesel oil,2018,kilotonnes,47.7945
GN,Energy Use,Pakistan,Emissions (CO2),Gas-Diesel oil,2019,kilotonnes,33.7748
GN,Energy Use,Pakistan,Emissions (CH4),Motor Gasoline,1970,kilotonnes,0.005
GN,Energy Use,Pakistan,Emissions (CH4),Motor Gasoline,1971,kilotonnes,0.0051
GN,Energy Use,Pakistan,Emissions (CH4),Motor Gasoline,1972,kilotonnes,0.0033
GN,Energy Use,Pakistan,Emissions (CH4),Motor Gasoline,1973,kilotonnes,0.0032
GN,Energy Use,Pakistan,Emissions (CH4),Motor Gasoline,1974,kilotonnes,0.0031
GN,Energy Use,Pakistan,Emissions (CH4),Motor Gasoline,1975,kilotonnes,0.0034
GN,Energy Use,Pakistan,Emissions (CH4),Motor Gasoline,1976,kilotonnes,0.0035
GN,Energy Use,Pakistan,Emissions (CH4),Motor Gasoline,1977,kilotonnes,0.0037
GN,Energy Use,Pakistan,Emissions (CH4),Motor Gasoline,1978,kilotonnes,0.0043
GN,Energy Use,Pakistan,Emissions (CH4),Motor Gasoline,1979,kilotonnes,0.0049
GN,Energy Use,Pakistan,Emissions (CH4),Motor Gasoline,1980,kilotonnes,0.0064
GN,Energy Use,Pakistan,Emissions (CH4),Motor Gasoline,1981,kilotonnes,0.007
GN,Energy Use,Pakistan,Emissions (CH4),Motor Gasoline,1982,kilotonnes,0.0077
GN,Energy Use,Pakistan,Emissions (CH4),Motor Gasoline,1983,kilotonnes,0.0083
GN,Energy Use,Pakistan,Emissions (CH4),Motor Gasoline,1984,kilotonnes,0.009
GN,Energy Use,Pakistan,Emissions (CH4),Motor Gasoline,1985,kilotonnes,0.0095
GN,Energy Use,Pakistan,Emissions (CH4),Motor Gasoline,1986,kilotonnes,0.01
GN,Energy Use,Pakistan,Emissions (CH4),Motor Gasoline,1987,kilotonnes,0.0106
GN,Energy Use,Pakistan,Emissions (CH4),Motor Gasoline,1988,kilotonnes,0.0115
GN,Energy Use,Pakistan,Emissions (CH4),Motor Gasoline,1989,kilotonnes,0.0121
GN,Energy Use,Pakistan,Emissions (CH4),Motor Gasoline,1990,kilotonnes,0.0131
GN,Energy Use,Pakistan,Emissions (CH4),Motor Gasoline,1991,kilotonnes,0.0134
GN,Energy Use,Pakistan,Emissions (CH4),Motor Gasoline,1992,kilotonnes,0.0138
GN,Energy Use,Pakistan,Emissions (CH4),Motor Gasoline,1993,kilotonnes,0.0143
GN,Energy Use,Pakistan,Emissions (CH4),Motor Gasoline,1994,kilotonnes,0.0142
GN,Energy Use,Pakistan,Emissions (CH4),Motor Gasoline,1995,kilotonnes,0.0138
GN,Energy Use,Pakistan,Emissions (CH4),Motor Gasoline,1996,kilotonnes,0.0127
GN,Energy Use,Pakistan,Emissions (CH4),Motor Gasoline,1997,kilotonnes,0.011
GN,Energy Use,Pakistan,Emissions (CH4),Motor Gasoline,1998,kilotonnes,0.0092
GN,Energy Use,Pakistan,Emissions (CH4),Motor Gasoline,1999,kilotonnes,0.0069
GN,Energy Use,Pakistan,Emissions (CH4),Motor Gasoline,2000,kilotonnes,0.0051
GN,Energy Use,Pakistan,Emissions (CH4),Motor Gasoline,2001,kilotonnes,0.0042
GN,Energy Use,Pakistan,Emissions (CH4),Motor Gasoline,2002,kilotonnes,0.0042
GN,Energy Use,Pakistan,Emissions (CH4),Motor Gasoline,2003,kilotonnes,0.0042
GN,Energy Use,Pakistan,Emissions (CH4),Motor Gasoline,2004,kilotonnes,0.004
GN,Energy Use,Pakistan,Emissions (CH4),Motor Gasoline,2005,kilotonnes,0.003
GN,Energy Use,Pakistan,Emissions (CH4),Motor Gasoline,2006,kilotonnes,0.0026
GN,Energy Use,Pakistan,Emissions (CH4),Motor Gasoline,2007,kilotonnes,0.0034
GN,Energy Use,Pakistan,Emissions (CH4),Motor Gasoline,2008,kilotonnes,0.0043
GN,Energy Use,Pakistan,Emissions (CH4),Motor Gasoline,2009,kilotonnes,0.0067
GN,Energy Use,Pakistan,Emissions (CH4),Motor Gasoline,2010,kilotonnes,0.0072
GN,Energy Use,Pakistan,Emissions (CH4),Motor Gasoline,2011,kilotonnes,0.0081
GN,Energy Use,Pakistan,Emissions (CH4),Motor Gasoline,2012,kilotonnes,0.008
GN,Energy Use,Pakistan,Emissions (CH4),Motor Gasoline,2013,kilotonnes,0.0058
GN,Energy Use,Pakistan,Emissions (CH4),Motor Gasoline,2014,kilotonnes,0.002
GN,Energy Use,Pakistan,Emissions (CH4),Motor Gasoline,2015,kilotonnes,0.0019
GN,Energy Use,Pakistan,Emissions (CH4),Motor Gasoline,2016,kilotonnes,0.0019
GN,Energy Use,Pakistan,Emissions (CH4),Motor Gasoline,2017,kilotonnes,0.0015
GN,Energy Use,Pakistan,Emissions (CH4),Motor Gasoline,2018,kilotonnes,0.0011
GN,Energy Use,Pakistan,Emissions (CH4),Motor Gasoline,2019,kilotonnes,0.0009
GN,Energy Use,Pakistan,Emissions (N2O),Motor Gasoline,1970,kilotonnes,0.0001
GN,Energy Use,Pakistan,Emissions (N2O),Motor Gasoline,1971,kilotonnes,0.0001
GN,Energy Use,Pakistan,Emissions (N2O),Motor Gasoline,1972,kilotonnes,0.0001
GN,Energy Use,Pakistan,Emissions (N2O),Motor Gasoline,1973,kilotonnes,0.0001
GN,Energy Use,Pakistan,Emissions (N2O),Motor Gasoline,1974,kilotonnes,0.0001
GN,Energy Use,Pakistan,Emissions (N2O),Motor Gasoline,1975,kilotonnes,0.0001
GN,Energy Use,Pakistan,Emissions (N2O),Motor Gasoline,1976,kilotonnes,0.0001
GN,Energy Use,Pakistan,Emissions (N2O),Motor Gasoline,1977,kilotonnes,0.0001
GN,Energy Use,Pakistan,Emissions (N2O),Motor Gasoline,1978,kilotonnes,0.0001
GN,Energy Use,Pakistan,Emissions (N2O),Motor Gasoline,1979,kilotonnes,0.0001
GN,Energy Use,Pakistan,Emissions (N2O),Motor Gasoline,1980,kilotonnes,0.0002
GN,Energy Use,Pakistan,Emissions (N2O),Motor Gasoline,1981,kilotonnes,0.0002
GN,Energy Use,Pakistan,Emissions (N2O),Motor Gasoline,1982,kilotonnes,0.0002
GN,Energy Use,Pakistan,Emissions (N2O),Motor Gasoline,1983,kilotonnes,0.0002
GN,Energy Use,Pakistan,Emissions (N2O),Motor Gasoline,1984,kilotonnes,0.0002
GN,Energy Use,Pakistan,Emissions (N2O),Motor Gasoline,1985,kilotonnes,0.0002
GN,Energy Use,Pakistan,Emissions (N2O),Motor Gasoline,1986,kilotonnes,0.0002
GN,Energy Use,Pakistan,Emissions (N2O),Motor Gasoline,1987,kilotonnes,0.0003
GN,Energy Use,Pakistan,Emissions (N2O),Motor Gasoline,1988,kilotonnes,0.0003
GN,Energy Use,Pakistan,Emissions (N2O),Motor Gasoline,1989,kilotonnes,0.0003
GN,Energy Use,Pakistan,Emissions (N2O),Motor Gasoline,1990,kilotonnes,0.0003
GN,Energy Use,Pakistan,Emissions (N2O),Motor Gasoline,1991,kilotonnes,0.0003
GN,Energy Use,Pakistan,Emissions (N2O),Motor Gasoline,1992,kilotonnes,0.0003
GN,Energy Use,Pakistan,Emissions (N2O),Motor Gasoline,1993,kilotonnes,0.0004
GN,Energy Use,Pakistan,Emissions (N2O),Motor Gasoline,1994,kilotonnes,0.0004
GN,Energy Use,Pakistan,Emissions (N2O),Motor Gasoline,1995,kilotonnes,0.0003
GN,Energy Use,Pakistan,Emissions (N2O),Motor Gasoline,1996,kilotonnes,0.0003
GN,Energy Use,Pakistan,Emissions (N2O),Motor Gasoline,1997,kilotonnes,0.0003
GN,Energy Use,Pakistan,Emissions (N2O),Motor Gasoline,1998,kilotonnes,0.0002
GN,Energy Use,Pakistan,Emissions (N2O),Motor Gasoline,1999,kilotonnes,0.0002
GN,Energy Use,Pakistan,Emissions (N2O),Motor Gasoline,2000,kilotonnes,0.0001
GN,Energy Use,Pakistan,Emissions (N2O),Motor Gasoline,2001,kilotonnes,0.0001
GN,Energy Use,Pakistan,Emissions (N2O),Motor Gasoline,2002,kilotonnes,0.0001
GN,Energy Use,Pakistan,Emissions (N2O),Motor Gasoline,2003,kilotonnes,0.0001
GN,Energy Use,Pakistan,Emissions (N2O),Motor Gasoline,2004,kilotonnes,0.0001
GN,Energy Use,Pakistan,Emissions (N2O),Motor Gasoline,2005,kilotonnes,0.0001
GN,Energy Use,Pakistan,Emissions (N2O),Motor Gasoline,2006,kilotonnes,0.0001
GN,Energy Use,Pakistan,Emissions (N2O),Motor Gasoline,2007,kilotonnes,0.0001
GN,Energy Use,Pakistan,Emissions (N2O),Motor Gasoline,2008,kilotonnes,0.0001
GN,Energy Use,Pakistan,Emissions (N2O),Motor Gasoline,2009,kilotonnes,0.0002
GN,Energy Use,Pakistan,Emissions (N2O),Motor Gasoline,2010,kilotonnes,0.0002
GN,Energy Use,Pakistan,Emissions (N2O),Motor Gasoline,2011,kilotonnes,0.0002
GN,Energy Use,Pakistan,Emissions (N2O),Motor Gasoline,2012,kilotonnes,0.0002
GN,Energy Use,Pakistan,Emissions (N2O),Motor Gasoline,2013,kilotonnes,0.0001
GN,Energy Use,Pakistan,Emissions (N2O),Motor Gasoline,2014,kilotonnes,0
GN,Energy Use,Pakistan,Emissions (N2O),Motor Gasoline,2015,kilotonnes,0
GN,Energy Use,Pakistan,Emissions (N2O),Motor Gasoline,2016,kilotonnes,0
GN,Energy Use,Pakistan,Emissions (N2O),Motor Gasoline,2017,kilotonnes,0
GN,Energy Use,Pakistan,Emissions (N2O),Motor Gasoline,2018,kilotonnes,0
GN,Energy Use,Pakistan,Emissions (N2O),Motor Gasoline,2019,kilotonnes,0
GN,Energy Use,Pakistan,Emissions (CO2),Motor Gasoline,1970,kilotonnes,4.3722
GN,Energy Use,Pakistan,Emissions (CO2),Motor Gasoline,1971,kilotonnes,4.4594
GN,Energy Use,Pakistan,Emissions (CO2),Motor Gasoline,1972,kilotonnes,2.8457
GN,Energy Use,Pakistan,Emissions (CO2),Motor Gasoline,1973,kilotonnes,2.8021
GN,Energy Use,Pakistan,Emissions (CO2),Motor Gasoline,1974,kilotonnes,2.7149
GN,Energy Use,Pakistan,Emissions (CO2),Motor Gasoline,1975,kilotonnes,2.933
GN,Energy Use,Pakistan,Emissions (CO2),Motor Gasoline,1976,kilotonnes,3.0311
GN,Energy Use,Pakistan,Emissions (CO2),Motor Gasoline,1977,kilotonnes,3.1619
GN,Energy Use,Pakistan,Emissions (CO2),Motor Gasoline,1978,kilotonnes,3.7507
GN,Energy Use,Pakistan,Emissions (CO2),Motor Gasoline,1979,kilotonnes,4.2632
GN,Energy Use,Pakistan,Emissions (CO2),Motor Gasoline,1980,kilotonnes,5.5825
GN,Energy Use,Pakistan,Emissions (CO2),Motor Gasoline,1981,kilotonnes,6.0513
GN,Energy Use,Pakistan,Emissions (CO2),Motor Gasoline,1982,kilotonnes,6.6619
GN,Energy Use,Pakistan,Emissions (CO2),Motor Gasoline,1983,kilotonnes,7.1634
GN,Energy Use,Pakistan,Emissions (CO2),Motor Gasoline,1984,kilotonnes,7.8176
GN,Energy Use,Pakistan,Emissions (CO2),Motor Gasoline,1985,kilotonnes,8.2101
