Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Unit 1,Value 1
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,1961,1961,ha,388100,hg/ha,299923
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,1962,1962,ha,444300,hg/ha,323131
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,1963,1963,ha,531000,hg/ha,347232
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,1964,1964,ha,477500,hg/ha,337990
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,1965,1965,ha,503000,hg/ha,371113
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,1966,1966,ha,597300,hg/ha,373504
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,1967,1967,ha,649500,hg/ha,338448
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,1968,1968,ha,503800,hg/ha,370365
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,1969,1969,ha,540700,hg/ha,406344
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,1970,1970,ha,620000,hg/ha,425315
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,1971,1971,ha,636000,hg/ha,364261
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,1972,1972,ha,552400,hg/ha,361394
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,1973,1973,ha,533400,hg/ha,373961
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,1974,1974,ha,645500,hg/ha,370418
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,1975,1975,ha,672818,hg/ha,315717
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,1976,1976,ha,699830,hg/ha,365041
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,1977,1977,ha,787827,hg/ha,374739
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,1978,1978,ha,822500,hg/ha,365673
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,1979,1979,ha,752500,hg/ha,363130
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,1980,1980,ha,718500,hg/ha,382710
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,1981,1981,ha,824700,hg/ha,392378
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,1982,1982,ha,946700,hg/ha,386392
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,1983,1983,ha,911700,hg/ha,356844
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,1984,1984,ha,896500,hg/ha,382457
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,1985,1985,ha,903600,hg/ha,355684
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,1986,1986,ha,779800,hg/ha,357224
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,1987,1987,ha,762000,hg/ha,572283
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,1988,1988,ha,841600,hg/ha,392452
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,1989,1989,ha,876900,hg/ha,421664
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,1990,1990,ha,854300,hg/ha,415470
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,1991,1991,ha,883800,hg/ha,407204
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,1992,1992,ha,896100,hg/ha,433712
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,1993,1993,ha,884600,hg/ha,430238
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,1994,1994,ha,962800,hg/ha,461435
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,1995,1995,ha,1009000,hg/ha,467477
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,1996,1996,ha,963100,hg/ha,469626
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,1997,1997,ha,964500,hg/ha,435442
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,1998,1998,ha,1056200,hg/ha,502785
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,1999,1999,ha,1155100,hg/ha,477804
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,2000,2000,ha,1009800,hg/ha,458829
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,2001,2001,ha,960800,hg/ha,453854
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,2002,2002,ha,999700,hg/ha,480560
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,2003,2003,ha,1099600,hg/ha,473407
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,2004,2004,ha,1074500,hg/ha,500884
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,2005,2005,ha,966400,hg/ha,488867
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,2006,2006,ha,907300,hg/ha,492290
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,2007,2007,ha,1028800,hg/ha,532092
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,2008,2008,ha,1241300,hg/ha,514944
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,2009,2009,ha,1029400,hg/ha,486161
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,2010,2010,ha,942800,hg/ha,523684
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,2011,2011,ha,987700,hg/ha,559973
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,2012,2012,ha,1057600,hg/ha,552165
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,2013,2013,ha,1172352,hg/ha,575425
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,2014,2014,ha,1140492,hg/ha,550872
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,2015,2015,ha,1131476,hg/ha,578734
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,2016,2016,ha,1217508,hg/ha,619973
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,2017,2017,ha,1341781,hg/ha,621061
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,2018,2018,ha,1101946,hg/ha,609594
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,2019,2019,ha,1039769,hg/ha,638407
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,156,Sugar cane,2020,2020,ha,1165030,hg/ha,695341
